"Date","CULV10A_PHOSPHATE, TOTAL AS P_mg/L","L8.441_FLOW_cfs"
"2000-01-10",0.189,976183.64294976
"2000-01-24",0.379,907679.52765504
"2000-02-07",0.31,379219.2096672
"2000-02-22",0.322,366986.331936
"2000-03-20",0.164,565158.95118144
"2000-04-17",0.184,-971290.49185728
"2000-04-27",0.227,469742.50487808
"2000-04-28",0.226,320501.39655744
"2000-04-29",0.291,450169.90050816
"2000-04-30",0.258,393898.66294464
"2000-05-01",0.216,411024.69176832
"2000-05-02",0.169,332734.27428864
"2000-05-03",0.136,254443.85680896
"2000-05-04",0.131,379219.2096672
"2000-05-11",0.087,315608.24546496
"2000-05-15",0.132,408578.11622208
"2000-05-18",0.081,-313161.66991872
"2000-05-25",0.191,73397.2663872
"2000-06-01",0.163,78290.41747968
"2000-06-12",0.109,181046.59042176
"2000-06-26",0.197,-445276.74941568
"2000-07-10",0.152,-188386.31706048
"2000-07-24",0.223,-247104.13017024
"2000-08-07",0.186,-291142.49000256
"2000-08-21",0.127,-557819.22454272
"2000-09-05",0.118,-366986.331936
"2000-09-18",0.238,-322947.97210368
"2000-10-02",0.112,-137008.23058944
"2000-10-16",0.165,-1321150.7949696
"2000-10-30",0.098,-1316257.64387712
"2000-11-13",0.079,-146794.5327744
"2000-12-18",0.045,-176153.43932928
"2001-01-08",0.168,51378.08647104
"2001-01-22",0.125,41591.78428608
"2001-02-05",0.6,-24465.7554624
"2001-03-05",0.514,225084.95025408
"2001-03-19",0.175,-31805.48210112
"2001-04-16",0.166,-17370.686378304
"2001-07-16",0.134,-628769.91538368
"2001-07-30",0.103,-1301578.19059968
"2001-08-07",0.17,-1945027.5592608
"2001-08-13",0.11,-1678350.82472064
"2001-08-21",0.112,-1465498.75219776
"2001-08-27",0.084,-1242860.37748992
"2001-09-04",0.062,-1091172.69362304
"2001-09-10",0.093,-1516876.8386688
"2001-09-18",0.053,-1825145.35749504
"2001-09-24",0.089,-1096065.84471552
"2001-10-02",0.068,-1269772.70849856
"2001-10-08",0.075,-344967.15201984
"2001-10-16",0.06,-503994.56252544
"2001-11-05",0.085,-1536449.44303872
"2001-11-19",0.142,14679.45327744
"2001-12-17",0.048,-26912.33100864
"2002-01-07",0.267,90523.29521088
"2002-01-22",0.105,-6605.753974848
"2002-02-04",0.492,154134.25941312
"2002-02-19",0.196,-234871.25243904
"2002-03-04",0.557,110095.8995808
"2002-03-18",0.076,-508887.71361792
"2002-04-01",0.195,322947.97210368
"2002-04-15",0.139,-39145.20873984
"2002-04-29",0.132,457509.62714688
"2002-05-13",0.154,264230.15899392
"2002-05-28",0.224,249550.70571648
"2002-06-10",0.254,-51378.08647104
"2002-06-24",0.255,-1448372.72337408
"2002-07-08",0.078,-650789.09529984
"2002-07-22",0.079,-313161.66991872
"2002-08-05",0.19,357200.02975104
"2002-08-19",0.18,119882.20176576
"2002-09-03",0.126,349860.30311232
"2002-09-16",0.125,489315.109248
"2002-09-30",0.122,477082.2315168
"2002-10-14",0.119,675254.85076224
"2002-10-28",0.111,374326.05857472
"2002-11-12",0.137,440383.5983232
"2002-11-25",0.0865,807369.9302592
"2002-12-09",0.169,724186.36168704
"2002-12-30",0.152,677701.42630848
"2003-01-13",0.229,1044687.75824448
"2003-01-27",0.375,988416.52068096
"2003-02-10",0.151,1083832.96698432
"2003-02-24",0.216,496654.83588672
"2003-03-10",0.233,956611.03857984
"2003-03-24",0.221,244657.554624
"2003-04-07",0.153,905232.9521088
"2003-04-21",0.136,998202.82286592
"2003-05-05",0.185,802476.77916672
"2003-05-19",0.142,751098.69269568
"2003-06-02",0.19,445276.74941568
"2003-06-16",0.114,711953.48395584
"2003-07-08",0.127,474635.65597056
"2003-07-21",0.094,697274.0306784
"2003-08-04",0.088,-736419.23941824
"2003-08-18",0.046,-961504.18967232
"2003-09-02",0.083,296035.64109504
"2003-09-15",0.111,704613.75731712
"2003-10-06",0.128,415917.8428608
"2003-10-20",0.154,606750.73546752
"2003-11-03",0.198,863641.16782272
"2003-11-17",0.133,792690.47698176
"2003-12-01",0.285,1037348.03160576
"2003-12-15",0.189,44038.35983232
"2004-01-05",0.118,951717.88748736
"2004-01-20",0.306,841621.98790656
"2004-02-02",0.127,545586.34681152
"2004-02-17",0.208,1042241.18269824
"2004-03-01",0.185,919912.40538624
"2004-03-15",0.147,802476.77916672
"2004-04-05",0.314,445276.74941568
"2004-04-19",0.15,518674.01580288
"2004-05-03",0.196,237317.82798528
"2004-05-17",0.204,359646.60529728
"2004-06-07",0.129,178600.01487552
"2004-06-21",0.179,107649.32403456
"2004-07-12",0.164,227531.52580032
"2004-07-26",0.15,58717.81310976
"2004-08-09",0.096,-264230.15899392
"2004-08-23",0.113,-269123.3100864
"2004-09-13",0.086,-760884.99488064
"2004-10-04",0.12,-567605.52672768
"2004-10-18",0.271,-3914.520873984
"2004-11-01",0.132,851408.29009152
"2004-11-15",0.175,349860.30311232
"2004-12-06",0.152,1259986.4063136
"2004-12-20",0.623,949271.31194112
"2005-01-03",0.248,900339.80101632
"2005-01-18",0.654,83183.56857216
"2005-01-25",0.614,1137657.6290016
"2005-01-31",0.311,944378.16084864
"2005-02-08",0.348,790243.90143552
"2005-02-14",0.181,462402.77823936
"2005-02-28",0.441,119882.20176576
"2005-03-14",0.345,917465.82984
"2005-04-04",0.391,1025115.15387456
"2005-04-18",0.466,890553.49883136
"2005-05-02",0.259,746205.5416032
"2005-05-16",0.18,785350.75034304
"2005-06-13",0.126,-188386.31706048
"2005-06-27",0.177,-203065.77033792
"2005-07-11",0.276,247104.13017024
"2005-07-25",0.25,1127871.32681664
"2005-08-08",0.26,1083832.96698432
"2005-08-22",0.0835,919912.40538624
"2005-09-06",0.305,78290.41747968
"2005-09-20",0.228,721739.7861408
"2005-10-03",0.176,848961.71454528
"2005-10-17",0.189,19083.289260672
"2005-11-01",0.202,2152.9864806912
"2005-11-14",0.0725,621430.18874496
"2005-12-05",0.181,609197.31101376
"2005-12-19",0.254,990863.0962272
"2006-01-09",0.27,1037348.03160576
"2006-01-23",0.212,472189.08042432
"2006-02-06",0.185,-129668.50395072
"2006-02-21",0.204,1037348.03160576
"2006-03-06",0.243,963950.76521856
"2006-03-20",0.205,653235.67084608
"2006-04-03",0.198,702167.18177088
"2006-04-17",0.277,663021.97303104
"2006-05-08",0.1185,538246.6201728
"2006-05-22",0.193,396345.23849088
"2006-06-05",0.269,305821.94328
"2006-06-19",0.174,296035.64109504
"2006-07-05",0.094,-39145.20873984
"2006-07-17",0.169,-39145.20873984
"2006-10-09",0.09,-900339.80101632
"2006-10-23",0.093,1810.4659042176
"2006-11-14",0.099,2691.233100864
"2006-11-27",0.111,-5382.466201728
"2006-12-04",0.099,-2250.8495025408
"2006-12-18",0.064,-239764.40353152
"2007-01-08",0.065,-604304.15992128
"2007-01-22",0.109,2055.1234588416
"2007-02-12",0.11,-1834.93165968
"2007-02-26",0.098,-1247.7535285824
"2007-03-12",0.11,-2324.246768928
"2007-03-26",0.093,-41591.78428608
"2007-04-23",0.203,58717.81310976
"2007-05-07",0.182,25444.385680896
"2007-07-09",0.116,-1228180.92421248
"2007-07-17",0.109,-489315.109248
"2007-07-23",0.214,-902786.37656256
"2007-07-31",0.066,-699720.60622464
"2007-08-06",0.095,-1330937.09715456
"2007-08-14",0.072,-1636759.04043456
"2007-08-20",0.073,-1450819.29892032
"2007-08-28",0.085,-1017775.42723584
"2007-09-04",0.051,-589624.70664384
"2007-09-10",0.05,-511334.28916416
"2007-09-18",0.0415,-1103405.57135424
"2007-09-24",0.098,-1617186.43606464
"2007-10-02",0.078,-2617835.8344768
"2007-10-08",0.077,-2312013.8911968
"2007-10-22",0.071,-2060016.60993408
"2007-11-13",0.035,-2037997.43001792
"2007-11-26",0.092,-85630.1441184
"2007-12-05",0.133,-19327.946815296
"2007-12-19",0.059,-271569.88563264
"2008-01-02",0.215,-39145.20873984
"2008-01-16",0.084,-26912.33100864
"2008-02-06",0.107,-15658.083495936
"2008-02-20",0.041,-1575594.65177856
"2008-03-05",0.042,-1480178.2054752
"2008-03-19",0.035,-1480178.2054752
"2008-04-02",0.044,-1384761.75917184
"2008-04-16",0.05,-1277112.43513728
"2008-05-28",0.112,-15168.768386688
"2008-06-25",0.077,-900339.80101632
"2008-07-16",0.077,-1127871.32681664
"2008-07-30",0.064,-1600060.40724096
"2008-08-13",0.063,-1294238.46396096
"2008-08-28",0.087,-2544438.5680896
"2008-09-10",0.084,-288695.91445632
"2008-09-24",0.167,589624.70664384
"2008-10-08",0.042,-518674.01580288
"2008-10-22",0.138,462402.77823936
"2008-11-05",0.383,428150.720592
"2008-11-19",0.486,868534.3189152
"2008-12-03",0.362,800030.20362048
"2008-12-17",0.164,782904.1747968
"2009-01-07",0.196,807369.9302592
"2009-01-21",0.723,587178.1310976
"2009-02-04",0.44,650789.09529984
"2009-02-18",0.164,538246.6201728
"2009-03-11",0.137,374326.05857472
"2009-03-25",0.161,14679.45327744
"2009-04-08",0.28,127221.92840448
"2009-04-22",0.121,-276463.03672512
"2009-05-06",0.101,6850.411529472
"2009-05-20",0.155,-31805.48210112
"2009-06-03",0.14,-239764.40353152
"2009-06-17",0.169,-1411674.09018048
"2009-07-08",0.049,-601857.58437504
"2009-07-22",0.143,234871.25243904
"2009-08-12",0.091,171260.2882368
"2009-08-26",0.122,587178.1310976
"2009-09-09",0.155,325394.54764992
"2009-09-23",0.133,599411.0088288
"2009-10-14",0.09,523567.16689536
"2009-10-28",0.15,719293.21059456
"2009-11-04",0.222,719293.21059456
"2009-11-18",0.172,746205.5416032
"2009-12-09",0.132,433043.87168448
"2009-12-23",0.238,264230.15899392
"2010-01-13",0.22,185939.74151424
"2010-01-27",0.16,249550.70571648
"2010-02-10",0.366,161473.98605184
"2010-02-24",0.121,477082.2315168
"2010-03-03",0.358,685041.1529472
"2010-03-17",0.143,58717.81310976
"2010-04-07",0.141,839175.41236032
"2010-04-21",0.164,993309.67177344
"2010-05-12",0.164,1003095.9739584
"2010-05-26",0.19,961504.18967232
"2010-06-16",0.113,797583.62807424
"2010-06-30",0.082,719293.21059456
"2010-07-14",0.079,704613.75731712
"2010-07-28",0.103,702167.18177088
"2010-08-04",0.089,521120.59134912
"2010-08-18",0.105,550479.497904
"2010-09-15",0.119,420810.99395328
"2010-09-29",0.126,-305821.94328
"2010-10-13",0.12,570052.10227392
"2010-10-27",0.109,401238.38958336
"2010-11-03",0.109,31805.48210112
"2010-11-17",0.13,557819.22454272
"2010-12-01",0.183,557819.22454272
"2010-12-13",0.467,724186.36168704
"2011-01-05",0.067,349860.30311232
"2011-01-20",0.097,288695.91445632
"2011-02-03",0.083,342520.5764736
"2011-02-17",0.116,384112.36075968
"2011-03-02",0.168,286249.33891008
"2011-03-16",0.097,320501.39655744
"2011-04-06",0.24,100309.59739584
"2011-04-20",0.136,203065.77033792
"2011-05-04",0.114,215298.64806912
"2011-05-18",0.199,97863.0218496
"2011-06-08",0.114,70950.69084096
"2011-06-22",0.066,56271.23756352
"2011-07-06",0.13,-132115.07949696
"2011-07-20",0.139,-318054.8210112
"2011-08-10",0.126,-195726.0436992
"2011-08-24",0.162,-707060.33286336
"2011-09-07",0.122,-403684.9651296
"2011-09-21",0.072,-212852.07252288
"2011-10-05",0.098,-107649.32403456
"2011-10-19",0.125,-349860.30311232
"2011-11-02",0.076,-716846.63504832
"2011-11-16",0.068,-53824.66201728
"2011-12-07",0.107,406131.54067584
"2011-12-21",0.108,560265.80008896
"2012-01-04",0.287,653235.67084608
"2012-01-18",0.104,623876.7642912
"2012-02-08",0.092,-88076.71966464
"2012-02-22",0.153,472189.08042432
"2012-03-07",0.156,393898.66294464
"2012-03-21",0.142,163920.56159808
"2012-04-04",0.141,68504.11529472
"2012-04-18",0.125,146794.5327744
"2012-05-02",0.119,-95416.44630336
"2012-05-16",0.153,-1289345.31286848
"2012-06-06",0.093,-1401887.78799552
"2012-06-20",0.075,-973737.06740352
"2012-07-11",0.062,-758438.4193344
"2012-07-25",0.047,-961504.18967232
"2012-08-08",0.051,-1235520.6508512
"2012-08-22",0.059,-1267326.13295232
"2012-09-05",0.105,-2334033.07111296
"2012-09-20",0.129,-154134.25941312
"2012-10-03",0.153,330287.6987424
"2012-10-17",0.086,567605.52672768
"2012-11-14",0.129,535800.04462656
"2012-11-28",0.126,638556.21756864
"2012-12-05",0.12,1034901.45605952
"2012-12-19",0.158,714400.05950208
"2013-01-09",0.125,932145.28311744
"2013-01-23",0.274,959057.61412608
"2013-02-06",0.145,939485.00975616
"2013-02-21",0.132,900339.80101632
"2013-03-06",0.308,973737.06740352
"2013-03-20",0.127,616537.03765248
"2013-04-03",0.118,665468.54857728
"2013-04-17",0.135,741312.39051072
"2013-05-08",0.16,643449.36866112
"2013-05-22",0.126,-237317.82798528
"2013-06-05",0.131,-190832.89260672
"2013-06-19",0.148,-166367.13714432
"2013-07-10",0.119,-41591.78428608
"2013-07-24",0.138,-44038.35983232
"2013-08-07",0.122,1049580.90933696
"2013-08-21",0.095,1262432.98185984
"2013-09-04",0.117,1171909.68664896
"2013-09-18",0.111,352306.87865856
"2013-10-07",0.13,817156.23244416
"2013-10-21",0.139,1122978.17572416
"2013-11-04",0.215,1010435.70059712
"2013-11-18",0.131,978630.218496
"2013-12-02",0.25,917465.82984
"2013-12-16",0.202,814709.65689792
"2014-01-06",0.18,738865.81496448
"2014-01-21",0.194,680148.00185472
"2014-02-03",0.106,508887.71361792
"2014-02-17",0.266,587178.1310976
"2014-03-03",0.15,702167.18177088
"2014-03-17",0.285,457509.62714688
"2014-04-07",0.205,530906.89353408
"2014-04-21",0.353,528460.31798784
"2014-05-05",0.204,-856301.441184
"2014-05-19",0.165,-797583.62807424
"2014-06-09",0.17,-1005542.54950464
"2014-06-23",0.181,-1225734.34866624
"2014-07-07",0.167,-1274665.85959104
"2014-07-21",0.111,266676.73454016
"2014-08-04",0.123,533353.46908032
"2014-08-18",0.132,846515.13899904
"2014-09-08",0.127,677701.42630848
"2014-09-22",0.125,3669.86331936
"2014-10-06",0.179,122328.777312
"2014-10-20",0.137,650789.09529984
"2014-11-03",0.198,242210.97907776
"2014-11-17",0.143,479528.80706304
"2014-12-01",0.17,415917.8428608
"2014-12-15",0.177,572498.67782016
"2014-12-30",0.11,851408.29009152
"2015-01-05",0.118,839175.41236032
"2015-01-06",0.153,858748.01673024
"2015-01-12",0.171,807369.9302592
"2015-01-20",0.192,944378.16084864
"2015-01-27",0.626,1044687.75824448
"2015-02-03",0.4,917465.82984
"2015-02-10",0.299,733972.663872
"2015-02-16",0.202,905232.9521088
"2015-02-17",0.185,902786.37656256
"2015-02-24",0.132,983523.36958848
"2015-03-02",0.148,543139.77126528
"2015-03-03",0.152,648342.5197536
"2015-03-10",0.146,760884.99488064
"2015-03-16",0.141,787797.32588928
"2015-03-17",0.145,927252.13202496
"2015-03-24",0.234,826942.53462912
"2015-03-31",0.209,738865.81496448
"2015-04-06",0.137,660575.3974848
"2015-04-07",0.143,645895.94420736
"2015-04-20",0.251,552926.07345024
"2015-05-04",0.142,533353.46908032
"2015-05-18",0.155,494208.26034048
"2015-06-01",0.136,178600.01487552
"2015-06-15",0.094,-63610.96420224
"2015-07-06",0.116,-675254.85076224
"2015-07-20",0.104,-371879.48302848
"2015-08-03",0.107,-486868.53370176
"2015-08-17",0.114,-26912.33100864
"2015-08-31",0.147,-114989.05067328
"2015-09-14",0.098,464849.3537856
"2015-09-28",0.09,491761.68479424
"2015-10-12",0.138,900339.80101632
"2015-10-26",0.126,577391.82891264
"2015-11-09",0.108,521120.59134912
"2015-11-23",0.291,582284.98000512
"2015-12-07",0.165,435490.44723072
"2015-12-21",0.167,359646.60529728
"2016-01-04",0.254,540693.19571904
"2016-01-20",0.331,606750.73546752
"2016-02-01",0.155,7829.041747968
"2016-02-15",0.161,110095.8995808
"2016-02-29",0.137,39145.20873984
"2016-03-14",0.159,484421.95815552
"2016-03-28",0.172,496654.83588672
"2016-04-11",0.217,499101.41143296
"2016-04-25",0.176,503994.56252544
"2016-05-09",0.147,687487.72849344
"2016-05-23",0.361,540693.19571904
"2016-06-06",0.092,552926.07345024
"2016-06-20",0.203,572498.67782016
"2016-07-06",0.146,971290.49185728
"2016-07-18",0.149,890553.49883136
"2016-08-01",0.121,856301.441184
"2016-08-15",0.108,310715.09437248
"2016-08-29",0.112,6361.096420224
"2016-09-12",0.109,594517.85773632
"2016-09-26",0.098,354753.4542048
"2016-10-08",0.107,-55047.9497904
"2016-10-10",0.106,-9884.1652068096
"2016-10-17",0.139,180067.960203264
"2016-10-24",0.23,418364.41840704
"2016-11-07",0.139,672808.275216
"2016-11-21",0.233,596964.43328256
"2016-12-05",0.137,315608.24546496
"2016-12-19",0.134,878320.62110016
"2017-01-04",0.277,844068.5634528
"2017-01-17",0.143,660575.3974848
"2017-01-30",0.266,125509.325522112
"2017-02-13",0.312,550479.497904
"2017-02-27",0.205,469742.50487808
"2017-03-14",0.669,235115.909993664
"2017-03-27",0.159,440383.5983232
"2017-04-10",0.195,-27890.961227136
"2017-04-24",0.283,-269123.3100864
"2017-05-08",0.192,-63366.306647616
"2017-05-22",0.23,-259337.00790144
"2017-06-05",0.358,-993309.67177344
"2017-06-19",0.153,-853854.86563776
"2017-07-05",0.103,-1252646.67967488
"2017-07-17",0.066,-692380.87958592
"2017-08-01",0.122,-601857.58437504
"2017-08-14",0.192,92480.555647872
"2017-08-28",0.077,-376772.63412096
"2017-09-13",0.118,-3205013.9655744
"2017-09-25",0.07,-58473.155555136
"2017-10-09",0.068,-623876.7642912
"2017-10-23",0.225,65078.909529984
"2018-04-09",0.21,606750.73546752
"2018-05-07",0.21,288695.91445632
"2018-06-04",0.099,-1825145.35749504
"2018-06-18",0.095,-111563.844908544
"2018-07-02",0.112,-2250.8495025408
"2018-07-16",0.092,4991.0141143296
"2018-07-30",0.093,-3987.9181403712
"2018-08-27",0.158,-10055.4254950464
"2018-09-10",0.241,-24245.5636632384
"2018-09-24",0.183,3694.3290748224
"2018-10-08",0.116,-513.7808647104
"2018-10-22",0.176,379219.2096672
"2018-11-05",0.171,347413.72756608
"2018-11-19",0.18,481975.38260928
"2018-12-03",0.158,503994.56252544
"2018-12-17",0.324,391452.0873984
"2019-01-02",0.134,322947.97210368
"2019-01-14",0.298,196460.016363072
"2019-01-28",0.252,-1191482.29101888
"2019-02-11",0.141,132849.052160832
"2019-02-25",0.19,80981.650580544
"2019-03-11",0.168,251997.28126272
"2019-03-25",0.148,-76333.157042688
"2019-04-08",0.146,-254443.85680896
"2019-04-22",0.17,-4991.0141143296
"2019-05-06",0.198,-23805.1800649152
"2019-05-20",0.159,-9394.8500975616
"2019-06-03",0.164,4208.1099395328
"2019-06-17",0.176,-114010.420454784
"2019-07-01",0.122,-116456.996001024
"2019-07-15",0.112,-103000.830496704
"2019-07-29",0.097,-80981.650580544
"2019-08-12",0.113,-247104.13017024
"2019-08-26",0.087,-433043.87168448
"2019-09-09",0.159,1247.7535285824
"2019-09-23",0.139,362093.18084352
"2019-10-07",0.137,398791.81403712
"2019-10-21",0.162,52601.37424416
"2019-11-04",0.195,222638.37470784
"2019-11-18",0.086,-40857.811622208
"2019-12-02",0.341,472189.08042432
"2019-12-16",0.126,-66546.854857728
"2020-01-13",0.148,-84896.171454528
"2020-01-27",0.258,72173.97861408
"2020-02-10",0.192,308268.51882624
"2020-02-24",0.213,316342.218128832
"2020-03-09",0.206,231446.046674304
"2020-03-23",0.158,294396.435479059
"2020-04-06",0.23,256890.4323552
"2020-04-20",0.322,52601.37424416
"2020-05-04",0.192,46484.93537856
"2020-05-18",0.19,-47218.908042432
"2020-06-01",0.162,-10275.617294208
"2020-06-15",0.182,-159761.383169472
"2020-06-29",0.197,251997.28126272
"2020-07-13",0.141,-220191.7991616
"2020-09-08",0.093,-1030008.30496704
"2020-09-21",0.094,-626323.33983744
"2020-10-05",0.074,-102022.200278208
"2021-01-06",0.109,-9370.3843420992
"2021-03-22",0.415,1056920.63597568
"2021-04-05",0.232,763331.57042688
"2021-04-19",0.414,34007.400092736
"2021-05-03",0.195,229244.128682688
"2021-05-17",0.209,162941.931379584
"2021-06-01",0.205,130891.79172384
"2021-06-14",0.3,221170.429380096
"2021-06-28",0.177,48686.853370176
"2021-07-12",0.127,123552.06508512
"2021-07-26",0.126,-64834.25197536
"2021-08-09",0.124,-279521.25615792
"2021-08-23",0.16,112542.47512704
"2021-09-20",0.074,-663021.97303104
"2021-10-18",0.05,-303375.36773376
"2021-11-01",0.115,-43793.702277696
"2022-01-10",0.182,369432.90748224
"2022-01-24",0.338,100064.939841216
"2022-02-07",0.193,23462.6594884416
"2022-02-21",0.182,447723.32496192
"2022-03-07",0.2,606750.73546752
"2022-03-21",0.204,391452.0873984
"2022-04-04",0.175,3890.0551185216
"2022-04-18",0.169,37921.92096672
"2022-05-02",0.159,-15291.097164
"2022-05-16",0.212,413471.26731456
"2022-05-19",0.239,354753.4542048
"2022-05-23",0.201,125998.64063136
"2022-05-31",0.177,125998.64063136
"2022-06-13",0.101,-88076.71966464
"2022-06-15",0.122,167345.767362816
"2022-06-16",0.14,291142.49000256
"2022-06-27",0.147,141167.409018048
"2022-07-11",0.211,244657.554624
"2022-07-25",0.136,126487.955740608
"2022-08-08",0.158,266676.73454016
"2022-08-22",0.156,433043.87168448
"2022-09-06",0.157,310715.09437248
"2022-09-19",0.104,-430597.29613824
"2022-10-03",0.106,-1671011.09808192
"2022-10-17",0.06,-670361.69966976
"2022-10-31",0.142,-10422.4118269824
"2022-11-14",0.113,-293.5890655488
"2022-11-28",0.168,-33028.76987424
"2022-12-12",0.226,126243.298185984
"2022-12-27",0.177,-4110.2469176832
"2023-01-09",0.131,14826.2478102144
"2023-01-23",0.21,303375.36773376
"2023-02-06",0.368,46484.93537856
"2023-02-20",0.281,680148.00185472
"2023-03-06",0.199,1135211.05345536
"2023-03-20",0.592,885660.34773888
"2023-04-03",0.231,621430.18874496
"2023-04-17",0.383,69238.087958592
