"Date","S154_PHOSPHATE, TOTAL AS P_mg/L","S154_C_FLOW_cfs"
"2000-03-20",0.135,1614.7398605184
"2001-07-11",0.0346666666666667,37848.5237003328
"2001-07-16",0.296,59084.799441696
"2001-07-25",0.656,61873.8955644096
"2001-08-08",0.5395,143051.272188653
"2001-08-13",1.586,163773.767065306
"2001-08-15",1.587,183615.494745312
"2001-08-27",0.716,68210.5262291712
"2001-09-10",0.451,242602.431165158
"2001-09-24",0.681,169841.274419981
"2001-09-26",1.112,215592.237134669
"2001-10-03",1.082,48637.9218592512
"2001-10-08",0.916,208154.647474099
"2001-10-10",0.864,138892.093760045
"2001-10-22",0.663,369383.975971315
"2001-10-31",0.655,223152.15557255
"2001-11-05",0.589,217231.44275065
"2001-11-07",0.2865,158464.698129965
"2002-05-28",0.051,2006.1919479168
"2002-07-08",0.042,83575.0206595584
"2002-08-28",0.785,143932.039385299
"2002-09-04",0.254,260389.035386323
"2002-09-11",0.651,33542.5507389504
"2002-12-18",0.129,101973.268767283
"2002-12-26",0.198,193377.33117481
"2002-12-30",0.378,121448.010115354
"2003-01-02",0.402,244902.212178624
"2003-01-08",0.486,120444.914141395
"2003-01-13",0.217,117044.174132122
"2003-01-15",0.465,48515.5930819392
"2003-02-05",0.1895,73.3972663872
"2003-03-19",0.254,63855.621756864
"2003-06-25",0.188,24832.741794336
"2003-07-02",0.45,31560.824546496
"2003-07-08",0.296,29236.577777568
"2003-07-09",0.366,28771.7284237824
"2003-07-16",0.264,26129.4268338432
"2003-07-21",0.269,26129.4268338432
"2003-07-23",0.191,27768.632449824
"2003-07-30",0.132,34105.2631145856
"2003-08-04",0.212,13089.179172384
"2003-08-13",0.383,31805.48210112
"2003-08-18",0.806,255569.28156023
"2003-08-20",0.601,273135.693982234
"2003-08-27",0.778,368111.75668727
"2003-09-03",0.797,222491.580175066
"2003-09-10",0.738,201181.907167315
"2003-09-15",0.428,122133.051268301
"2003-09-17",0.528,39340.9347835392
"2003-09-24",0.374,89495.7334814592
"2003-10-01",0.339,479259.683752954
"2003-10-09",0.485,140482.367865101
"2003-10-15",0.494,98327.8712033856
"2003-11-03",0.247,8563.01441184
"2003-12-03",0.152,2324.246768928
"2004-09-01",0.754,54020.3880609792
"2004-09-15",1.0885,387243.977458867
"2004-09-21",0.899,1031574.11331663
"2004-09-30",0.859,1114953.40793249
"2004-10-04",1.01,1881954.84167873
"2004-10-06",1.01,2678290.71622439
"2004-10-13",1.01,140702.559664262
"2004-10-18",0.941,116652.722044723
"2004-10-20",0.942,77238.3899947968
"2004-11-03",0.74,50423.9220080064
"2004-11-15",0.592,538.2466201728
"2004-11-17",0.561,1296.6850395072
"2004-12-01",0.391,929.6987075712
"2004-12-22",0.189,2373.1782798528
"2005-02-02",0.106,685.0411529472
"2005-02-09",0.055,122.328777312
"2005-03-24",0.405,90303.1034117184
"2005-03-30",0.482,83526.0891486336
"2005-05-11",0.247,464.8493537856
"2005-06-01",0.0885,203579.55120263
"2005-06-08",0.471,755306.802635213
"2005-06-13",0.933,621821.640832359
"2005-06-15",0.932,265893.830365363
"2005-06-22",0.854,335229.781345805
"2005-06-27",0.769,237709.280072678
"2005-06-29",0.723,365347.126320019
"2005-07-06",0.718,358790.303856096
"2005-07-11",0.497,341933.398342502
"2005-07-13",0.716,329602.657589453
"2005-07-20",0.608,173462.206228416
"2005-07-25",0.46,206637.77063543
"2005-07-27",0.51,181291.247976384
"2005-08-03",0.403,27939.8927380608
"2005-08-08",0.214,22043.6456716224
"2005-08-10",0.195,28820.6599347072
"2005-09-06",0.142,1272.2192840448
"2005-10-05",0.074,93924.0352201536
"2005-10-12",0.142,25640.1117245952
"2005-10-19",0.236,10055.4254950464
"2005-10-31",0.2,405079.513190957
"2005-11-01",0.597,326886.958733126
"2005-11-07",0.57,125411.462500262
"2005-11-16",0.2705,611.64388656
"2005-12-14",0.0845,36307.1811062016
"2006-02-06",0.491,72394.1704132416
"2006-02-08",0.1675,10397.94607152
"2006-09-13",0.478,2226.3837470784
"2008-03-20",0.1,244.657554624
"2008-07-02",0.031,120102.393564922
"2008-07-15",1.869,136274.257925568
"2008-07-16",0.599,409850.335506125
"2008-07-24",0.901,94560.144862176
"2008-07-29",0.5615,91722.1172285376
"2008-07-30",1.225,93263.4598226688
"2008-08-06",1.195,215151.853536346
"2008-08-26",0.757,1599962.54421911
"2008-08-28",1.029,1099784.6395458
"2008-09-03",1.008,598970.625230477
"2008-09-10",0.9835,328232.575283558
"2008-09-17",0.99,119588.612700211
"2008-09-24",0.453,198588.537088301
"2008-10-01",0.2825,85752.472895712
"2008-10-15",0.493,366.986331936
"2009-06-10",0.092,67843.5398972352
"2009-06-17",0.192,146.7945327744
"2009-07-01",0.222,1149.8905067328
"2009-07-15",0.353,4428.3017386944
"2009-08-12",0.367,103759.268916038
"2009-08-27",0.29,636.1096420224
"2009-09-09",0.431,61360.1146996992
"2010-02-24",0.062,171.2602882368
"2010-03-31",0.379,273722.872113331
"2010-04-07",1.1865,137473.079943226
"2010-04-28",0.99,281111.530262976
"2010-06-02",0.705,146.7945327744
"2010-07-07",0.352,283607.037320141
"2010-07-14",0.5885,135393.490728922
"2010-08-25",0.224,129007.928553235
"2010-09-01",0.322,122328.777312
"2010-09-08",0.361,198588.537088301
"2010-09-15",0.5075,138500.641672646
"2010-09-22",0.446,88957.4868612864
"2010-09-29",0.2855,105276.145754707
"2010-10-13",0.1855,1370.0823058944
"2010-11-30",0.103,220.1917991616
"2011-03-23",0.056,48.9315109248
"2011-10-05",0.212,2789.0961227136
"2011-10-12",0.201,145938.231333216
"2011-10-19",0.406,276952.351834368
"2011-11-02",0.621,308708.902424563
"2011-11-09",0.619,122720.229399398
"2011-11-16",0.636,13749.7545698688
"2011-11-23",0.607,71121.9511291968
"2011-11-30",0.736,50595.1822962432
"2012-08-22",0.109,228069.772420493
"2012-08-29",0.388,1674436.30384666
"2012-09-05",0.8105,516741.22112135
"2012-09-12",0.848,441998.338183718
"2012-09-19",0.829,527334.89323657
"2012-09-20",0.806,376063.12721255
"2012-09-26",0.794,239372.951444122
"2012-10-03",0.7565,192936.947576486
"2012-10-10",0.692,443295.023223226
"2012-10-17",0.6875,239935.663819757
"2012-10-24",0.574,332881.068821414
"2012-10-31",0.582,152519.519552602
"2012-11-07",0.496,88027.7881537152
"2012-11-14",0.5085,88566.034773888
"2012-12-26",0.224,48.9315109248
"2013-01-16",0.182,1076.4932403456
"2013-06-26",0.497,48.9315109248
"2013-07-02",0.236,61042.059878688
"2013-07-17",0.211,225525.333852403
"2013-07-24",0.6195,225818.922917952
"2013-07-31",0.739,827578.644271142
"2013-08-07",0.761,574945.2533664
"2013-08-14",0.755,314923.204312013
"2013-08-21",0.5945,221072.566358246
"2013-08-28",0.449,419171.788337299
"2013-09-04",0.4225,347266.933033306
"2013-09-11",0.353,353725.892475379
"2013-09-18",0.2715,301246.847008531
"2013-09-25",0.303,497535.603083366
"2013-10-02",0.375,86070.5277167232
"2013-10-07",0.386,113961.488943859
"2013-10-09",0.405,201818.016809338
"2013-10-16",0.385,105667.597842106
"2013-10-21",0.337,90131.8431234816
"2013-10-23",0.502,95710.0353689088
"2013-12-18",0.161,489.315109248
"2014-06-18",0.129,33518.084983488
"2014-06-23",0.646,297332.326134547
"2014-06-25",0.507,171651.740324198
"2014-07-01",0.728,180777.467111674
"2014-07-16",0.38,1190185.60597937
"2014-07-21",0.603,463699.463278867
"2014-07-23",0.508,402730.800666566
"2014-07-30",0.664,56491.4293626816
"2014-08-04",0.473,75476.855601504
"2014-08-07",0.576,553415.388559488
"2014-08-13",0.484,497021.822218656
"2014-08-18",0.457,428786.830234022
"2014-08-20",0.486,282946.461922656
"2014-08-27",0.47,145620.176512205
"2014-09-08",0.29,92505.0214033344
"2014-09-17",0.236,86706.6373587456
"2014-09-22",0.209,271692.214409952
"2014-09-24",0.225,237489.088273517
"2014-10-01",0.245,70387.9784653248
"2014-10-08",0.351,154281.053945894
"2014-10-15",0.248,182587.933015891
"2014-10-20",0.287,206809.030923667
"2014-10-22",0.228,103906.063448813
"2014-10-30",0.309,103563.542872339
"2014-11-03",0.338,27572.9064061248
"2014-11-05",0.302,41200.3321986816
"2014-11-12",0.372,45995.620269312
"2014-11-17",0.227,44796.7982516544
"2014-11-19",0.25,50374.9904970816
"2014-11-26",0.176,46191.3463130112
"2014-12-01",0.131,147968.889036595
"2014-12-17",0.127,117362.228953133
"2015-02-11",0.136,73.3972663872
"2015-08-05",0.221,7462.055416032
"2015-08-17",0.451,193255.002397498
"2015-08-31",0.289,25493.3171918208
"2015-09-02",0.452,108946.009074067
"2015-09-09",0.383,14826.2478102144
"2015-09-14",0.206,174930.15155616
"2015-09-16",0.4,404981.650169107
"2015-09-23",0.476,341786.603809728
"2015-09-28",0.332,221928.86779943
"2015-09-30",0.621,183664.426256237
"2015-10-07",0.283,147088.121839949
"2015-10-12",0.208,86755.5688696704
"2015-10-14",0.238,77654.3078376576
"2015-10-21",0.24,40588.6883121216
"2015-11-23",0.428,197952.427446278
"2015-11-25",0.288,124799.818613702
"2015-12-02",0.273,83452.6918822464
"2015-12-07",0.474,397250.471442989
"2015-12-09",0.406,400479.951164026
"2015-12-21",0.516,249893.226292954
"2016-01-20",0.336,298702.408440442
"2016-02-01",0.425,677236.576954694
"2016-02-15",0.452,231103.52609783
"2016-02-29",0.393,107551.46101271
"2016-03-14",0.314,220.1917991616
"2016-03-28",0.335,170868.836149402
"2016-06-20",0.468,315706.10848681
"2016-07-06",0.306,53506.6071962688
"2016-10-10",0.847,480727.629080698
"2016-10-24",0.58,222760.703485152
"2017-07-31",0.523,133656.422091091
"2017-08-07",0.548,67574.4165871488
"2017-08-14",1.0095,132139.545252422
"2017-08-21",1.187,147626.368460122
"2017-08-28",0.712,119710.941477523
"2017-09-05",0.55,128420.750422138
"2017-09-13",0.612,1327511.89138982
"2017-09-18",0.871,882699.99132793
"2017-09-25",0.8135,459417.956072947
"2017-10-02",0.695,414963.678397766
"2017-10-09",0.8195,862613.606093299
"2017-10-16",0.843,426756.172530643
"2017-10-23",0.5485,253979.007455174
"2017-10-30",0.45,764408.063667226
"2017-11-06",0.393,326764.629955814
"2017-11-13",0.429,240620.704972704
"2017-11-20",0.323,164532.20548464
"2017-11-27",0.314,88419.2402411136
"2017-12-04",0.327,172948.425363706
"2017-12-18",0.236,6605.753974848
"2018-03-05",0.125,8318.356857216
"2018-05-21",0.365,523151.249052499
"2018-06-18",1.2985,85067.4317427648
"2018-06-25",1.072,468225.628039411
"2018-07-02",0.3825,94144.2270193152
"2018-07-23",0.543,25248.6596371968
"2018-07-30",0.321,121007.62651703
"2019-02-11",0.046,1614.7398605184
"2019-08-12",0.759,215812.42893383
"2019-08-26",0.666,288328.928124384
"2020-08-10",0.181,151296.231779482
"2020-08-24",0.296,17884.4672430144
"2020-09-08",0.194,218381.333257382
"2020-09-21",0.27,431160.008513875
"2020-10-05",0.574,269392.433396486
"2020-10-19",0.397,264450.350793082
"2020-11-02",0.367,272499.584340211
"2020-11-16",0.68,376038.661457088
"2020-11-30",0.479,134977.572886061
"2020-12-14",0.33,141289.73779536
"2020-12-28",0.379,113276.447790912
"2021-03-08",0.248,122.328777312
"2021-06-28",0.466,58155.1007341248
"2021-07-12",0.71,166220.342611546
"2021-08-23",0.382,190001.056920998
"2021-09-20",0.238,144470.286005472
"2021-10-04",0.448,251850.486729946
"2021-10-18",0.441,131234.312300314
"2021-11-01",0.282,45016.990050816
"2021-11-15",0.364,91550.8569403008
"2021-11-29",0.234,12281.8092421248
"2022-10-03",0.154,53775.7305063552
"2022-10-20",0.881,71904.8553039936
"2022-11-14",0.442,198001.358957203
"2022-11-28",0.46,147822.094503821
"2022-12-12",0.327,48.9315109248
