"","date","L004_NITRATE+NITRITE-N_mg/L","days"
"1",1972-11-06,NA,6
"2",1972-12-11,0.0495,41
"3",1973-01-15,0.181,76
"4",1973-02-05,0.2075,97
"5",1973-03-05,0.157,125
"6",1973-04-11,NA,162
"7",1973-05-08,0.041,188
"8",1973-05-09,NA,189
"9",1973-05-23,0.007,203
"10",1973-06-04,0.04,215
"11",1973-07-09,NA,250
"12",1973-08-09,NA,281
"13",1973-09-12,0.01,315
"14",1973-09-14,NA,317
"15",1973-09-28,NA,331
"16",1973-10-10,NA,343
"17",1973-10-12,NA,345
"18",1973-10-26,NA,359
"19",1973-11-09,NA,374
"20",1973-11-15,0.0925,380
"21",1973-11-21,NA,386
"22",1973-12-07,0.063,402
"23",1973-12-20,0.19,415
"24",1974-01-03,0.017,429
"25",1974-01-16,0.0875,441
"26",1974-01-17,0.078,442
"27",1974-02-01,0.041,457
"28",1974-02-06,0.047,462
"29",1974-02-15,NA,471
"30",1974-02-21,0.1695,477
"31",1974-03-01,0.023,485
"32",1974-03-06,0.0845,490
"33",1974-03-15,NA,499
"34",1974-03-20,0.0575,504
"35",1974-03-29,0.114,513
"36",1974-04-03,0.179,518
"37",1974-04-12,NA,527
"38",1974-04-19,0.1285,534
"39",1974-04-25,0.032,540
"40",1974-05-08,0.1105,553
"41",1974-05-10,0.043,555
"42",1974-05-23,0.025,568
"43",1974-06-04,0.011,580
"44",1974-06-07,0.053,583
"45",1974-06-18,NA,594
"46",1974-06-20,0.355,596
"47",1974-07-05,0.03,611
"48",1974-07-09,0.012,615
"49",1974-07-19,0.021,625
"50",1974-07-23,NA,629
"51",1974-08-02,0.26,639
"52",1974-08-07,0.085,644
"53",1974-08-16,NA,653
"54",1974-08-21,NA,658
"55",1974-08-30,NA,667
"56",1974-09-11,0.0113333333333333,679
"57",1974-09-25,0.002,693
"58",1974-10-08,0.118,706
"59",1974-10-15,0.235,713
"60",1974-10-22,0.021,720
"61",1974-11-06,0.11375,736
"62",1974-11-20,0.048,750
"63",1974-12-06,0.044,766
"64",1974-12-11,0.3225,771
"65",1974-12-19,0.081,779
"66",1974-12-30,0.246,790
"67",1975-01-14,NA,805
"68",1975-01-17,0.059,808
"69",1975-01-24,0.1995,815
"70",1975-02-04,0.117,826
"71",1975-02-22,0.061,844
"72",1975-02-25,0.105,846
"73",1975-03-12,0.081,861
"74",1975-03-30,0.102,879
"75",1975-04-17,0.038,897
"76",1975-05-05,0.05,915
"77",1975-05-23,0.075,933
"78",1975-06-06,NA,947
"79",1975-06-10,NA,951
"80",1975-06-28,NA,969
"81",1975-07-16,0.012,987
"82",1975-08-03,0.03,1005
"83",1975-08-21,0.025,1023
"84",1975-08-28,0.555,1030
"85",1975-08-29,0.31,1031
"86",1975-09-08,0.012,1041
"87",1975-09-26,0.134,1059
"88",1975-10-03,0.05,1066
"89",1975-10-05,0.051,1068
"90",1975-10-23,0.196,1086
"91",1975-11-10,0.129,1105
"92",1975-11-18,0.229,1113
"93",1975-12-16,0.312,1141
"94",1975-12-17,0.363,1142
"95",1976-03-01,0.457,1217
"96",1976-03-15,NA,1231
"97",1976-04-20,0.31,1267
"98",1976-05-08,0.122,1284
"99",1976-05-12,0.096,1288
"100",1976-05-26,0.297,1302
"101",1976-06-13,0.19,1320
"102",1976-07-01,NA,1338
"103",1976-08-06,0.008,1374
"104",1976-08-24,NA,1392
"105",1976-09-01,NA,1400
"106",1976-09-11,NA,1410
"107",1976-09-29,NA,1428
"108",1976-10-17,NA,1446
"109",1976-11-04,0.213,1465
"110",1976-11-22,0.287,1483
"111",1976-12-09,0.331,1500
"112",1977-02-23,0.5295,1576
"113",1977-03-15,0.4425,1596
"114",1977-06-15,0.085,1687
"115",1977-08-17,0.0345,1750
"116",1977-09-13,0.0155,1777
"117",1977-10-11,NA,1805
"118",1977-11-21,0.098,1847
"119",1978-01-12,0.14,1899
"120",1978-02-08,0.283,1926
"121",1978-03-16,0.387,1962
"122",1978-04-12,0.3415,1989
"123",1978-05-23,0.025,2029
"124",1978-06-12,NA,2049
"125",1978-07-12,NA,2079
"126",1978-08-08,NA,2106
"127",1978-09-06,NA,2135
"128",1978-10-11,NA,2170
"129",1978-11-07,0.147,2198
"130",1979-01-10,0.288,2262
"131",1979-01-31,0.394,2283
"132",1979-03-07,0.265,2318
"133",1979-04-10,0.332,2352
"134",1979-05-09,0.229,2380
"135",1979-06-06,NA,2408
"136",1979-07-04,NA,2436
"137",1979-08-08,0.004,2471
"138",1979-09-11,0.058,2505
"139",1979-10-10,0.437,2534
"140",1979-11-09,0.544,2565
"141",1979-12-11,0.497,2597
"142",1980-01-09,0.354,2626
"143",1980-02-08,0.392666666666667,2656
"144",1980-03-05,0.4,2682
"145",1980-04-09,0.443,2717
"146",1980-05-15,0.299,2752
"147",1980-06-16,0.298,2784
"148",1980-07-21,0.197,2819
"149",1980-08-20,0.1,2849
"150",1980-09-16,0.0296666666666667,2876
"151",1980-10-16,0.092,2906
"152",1980-11-06,0.187333333333333,2928
"153",1980-12-11,0.222,2963
"154",1981-01-15,0.264,2998
"155",1981-02-19,0.419,3033
"156",1981-03-26,0.452,3068
"157",1981-04-22,0.338,3095
"158",1981-05-28,0.201,3130
"159",1981-06-24,0.007,3157
"160",1981-07-15,NA,3178
"161",1981-07-30,NA,3193
"162",1981-08-12,0.032,3206
"163",1981-08-24,0.635,3218
"164",1981-09-10,0.097,3235
"165",1981-09-22,0.088,3247
"166",1981-10-08,0.064,3263
"167",1981-11-24,0.137,3311
"168",1982-01-07,0.047,3355
"169",1982-02-11,0.393,3390
"170",1982-03-04,0.218,3411
"171",1982-04-01,0.237,3439
"172",1982-05-19,0.084,3486
"173",1982-06-24,0.12,3522
"174",1982-07-09,NA,3537
"175",1982-08-25,0.023,3584
"176",1982-09-28,0.091,3618
"177",1982-11-23,0.245,3675
"178",1982-12-20,0.211,3702
"179",1983-01-25,0.235,3738
"180",1983-02-24,NA,3768
"181",1983-03-23,0.16,3795
"182",1983-04-20,0.195,3823
"183",1983-05-26,0.198,3858
"184",1983-06-28,0.102,3891
"185",1983-07-19,0.006,3912
"186",1983-08-30,NA,3954
"187",1983-09-30,0.029,3985
"188",1983-10-27,0.089,4012
"189",1983-12-21,0.134,4068
"190",1984-01-18,0.227,4096
"191",1984-02-15,0.219,4124
"192",1984-03-22,0.360666666666667,4160
"193",1984-04-18,0.328,4187
"194",1984-05-16,0.2685,4214
"195",1984-06-21,0.089,4250
"196",1984-07-26,NA,4285
"197",1984-08-22,0.031,4312
"198",1984-10-18,0.071,4369
"199",1984-11-29,0.245,4412
"200",1984-12-20,0.312,4433
"201",1985-01-15,0.219,4459
"202",1985-02-27,0.216,4502
"203",1985-04-04,0.26,4538
"204",1985-05-01,0.226,4564
"205",1985-06-06,0.006,4600
"206",1985-07-10,0.006,4634
"207",1985-08-08,NA,4663
"208",1985-09-05,0.035,4691
"209",1985-10-17,0.082,4733
"210",1985-11-14,0.167,4762
"211",1985-12-11,0.01,4789
"212",1986-01-30,0.142,4839
"213",1986-02-20,0.054,4860
"214",1986-04-03,0.244,4902
"215",1986-05-01,0.141,4929
"216",1986-06-03,NA,4962
"217",1986-07-02,NA,4991
"218",1986-08-07,NA,5027
"219",1986-09-25,NA,5076
"220",1986-10-23,0.18,5104
"221",1986-12-10,0.106,5153
"222",1987-01-14,0.245,5188
"223",1987-02-12,0.298,5217
"224",1987-04-03,0.398,5267
"225",1987-05-01,0.352,5294
"226",1987-06-04,NA,5328
"227",1987-06-24,0.008,5348
"228",1987-07-21,NA,5375
"229",1987-08-18,NA,5403
"230",1987-09-14,NA,5430
"231",1987-10-19,0.217,5465
"232",1987-11-18,0.3,5496
"233",1987-12-14,0.333,5522
"234",1988-01-19,0.377,5558
"235",1988-02-17,0.426,5587
"236",1988-03-22,0.429,5621
"237",1988-04-20,0.347,5649
"238",1988-05-04,0.232,5663
"239",1988-05-18,0.297,5677
"240",1988-06-02,0.094,5692
"241",1988-06-15,0.253,5705
"242",1988-06-29,0.027,5719
"243",1988-07-13,0.057,5733
"244",1988-07-25,0.097,5745
"245",1988-08-10,0.09,5761
"246",1988-08-24,NA,5775
"247",1988-09-08,0.015,5790
"248",1988-09-21,NA,5803
"249",1988-10-05,NA,5817
"250",1988-10-19,0.083,5831
"251",1988-11-02,0.016,5846
"252",1988-11-16,NA,5860
"253",1988-12-12,0.226,5886
"254",1989-01-11,0.166,5916
"255",1989-02-08,0.009,5944
"256",1989-03-15,0.089,5979
"257",1989-04-05,0.203,5999
"258",1989-05-17,0.088,6041
"259",1989-06-13,0.006,6068
"260",1989-06-27,0.011,6082
"261",1989-07-11,0.009,6096
"262",1989-07-26,0.01,6111
"263",1989-08-08,NA,6124
"264",1989-08-22,0.004,6138
"265",1989-09-06,NA,6153
"266",1989-09-20,NA,6167
"267",1989-10-05,NA,6182
"268",1989-10-18,NA,6195
"269",1989-11-01,0.153,6210
"270",1989-11-15,0.099,6224
"271",1989-12-13,0.132,6252
"272",1990-01-10,0.178,6280
"273",1990-02-07,0.528,6308
"274",1990-03-07,0.632,6336
"275",1990-04-05,0.208,6364
"276",1990-04-18,0.093,6377
"277",1990-05-02,0.306,6391
"278",1990-05-16,0.158,6405
"279",1990-05-31,0.022,6420
"280",1990-06-12,0.005,6432
"281",1990-06-26,0.006,6446
"282",1990-07-10,0.0055,6460
"283",1990-07-24,0.007,6474
"284",1990-08-07,0.005,6488
"285",1990-08-20,0.0065,6501
"286",1990-09-18,0.006,6530
"287",1990-10-02,0.0215,6544
"288",1990-10-17,0.143,6559
"289",1990-10-31,0.206,6574
"290",1990-11-14,0.255,6588
"291",1990-12-11,0.224,6615
"292",1991-01-07,0.176,6642
"293",1991-02-07,0.565,6673
"294",1991-03-06,0.233,6700
"295",1991-04-17,0.195,6741
"296",1991-05-01,0.223,6755
"297",1991-05-13,0.242,6767
"298",1991-05-29,0.176,6783
"299",1991-06-12,0.019,6797
"300",1991-07-10,NA,6825
"301",1991-07-24,0.03,6839
"302",1991-08-06,0.007,6852
"303",1991-08-20,NA,6866
"304",1991-09-03,0.013,6880
"305",1991-09-16,0.021,6893
"306",1991-10-14,0.083,6921
"307",1991-10-28,0.16,6936
"308",1991-12-12,0.182,6981
"309",1992-01-22,0.226,7022
"310",1992-02-04,0.245,7035
"311",1992-03-09,0.212,7069
"312",1992-04-08,0.07,7098
"313",1992-05-05,0.051,7125
"314",1992-05-19,0.113,7139
"315",1992-06-02,0.123,7153
"316",1992-06-16,0.095,7167
"317",1992-08-03,NA,7215
"318",1992-08-18,NA,7230
"319",1992-08-26,0.053,7238
"320",1992-09-08,NA,7251
"321",1992-10-12,0.008,7285
"322",1992-11-23,0.298,7328
"323",1992-12-08,0.186,7343
"324",1993-01-06,0.282,7372
"325",1993-02-22,0.317,7419
"326",1993-03-09,0.316,7434
"327",1993-04-20,0.42,7475
"328",1993-05-11,0.176,7496
"329",1993-05-25,0.441,7510
"330",1993-06-09,0.356,7525
"331",1993-06-15,0.316,7531
"332",1993-07-07,0.262,7553
"333",1993-07-20,0.05,7566
"334",1993-08-02,0.085,7579
"335",1993-08-17,0.182,7594
"336",1993-08-31,0.246,7608
"337",1993-10-06,0.073,7644
"338",1993-10-20,0.091,7658
"339",1993-11-15,0.216,7685
"340",1993-12-28,0.085,7728
"341",1994-02-03,0.487,7765
"342",1994-02-24,0.403,7786
"343",1994-03-16,0.443,7806
"344",1994-04-13,0.38,7833
"345",1994-04-27,0.353,7847
"346",1994-05-11,0.238,7861
"347",1994-05-17,0.19,7867
"348",1994-05-25,0.196,7875
"349",1994-06-27,0.058,7908
"350",1994-07-07,0.084,7918
"351",1994-07-20,0.004,7931
"352",1994-08-08,0.005,7950
"353",1994-08-18,0.005,7960
"354",1994-10-12,0.0246,8015
"355",1994-10-27,0.0358,8030
"356",1995-01-18,0.473,8114
"357",1995-02-14,0.287,8141
"358",1995-03-14,0.383,8169
"359",1995-04-04,0.346,8189
"360",1995-04-19,0.334,8204
"361",1995-05-02,0.32,8217
"362",1995-06-01,0.158,8247
"363",1995-06-14,0.076,8260
"364",1995-06-28,0.079,8274
"365",1995-07-13,0.047,8289
"366",1995-08-09,0.059,8316
"367",1995-09-21,0.004,8359
"368",1995-10-26,0.187,8394
"369",1995-11-27,0.274,8427
"370",1996-01-17,0.275,8478
"371",1996-02-14,0.303,8506
"372",1996-03-25,0.312,8546
"373",1996-04-15,0.303,8566
"374",1996-05-14,0.302,8595
"375",1996-05-28,0.291,8609
"376",1996-06-25,0.107,8637
"377",1996-07-11,0.092,8653
"378",1996-08-08,0.054,8681
"379",1996-08-19,NA,8692
"380",1996-09-05,0.025,8709
"381",1996-10-16,0.21,8750
"382",1996-11-12,0.17,8778
"383",1996-12-10,0.346,8806
"384",1997-01-06,0.226,8833
"385",1997-02-03,0.271,8861
"386",1997-03-03,0.342,8889
"387",1997-04-08,0.073,8924
"388",1997-04-24,0.13,8940
"389",1997-05-08,0.061,8954
"390",1997-05-20,0.218,8966
"391",1997-06-02,0.123,8979
"392",1997-06-17,0.16,8994
"393",1997-07-15,0.025,9022
"394",1997-08-13,0.009,9051
"395",1997-08-25,0.01,9063
"396",1997-09-09,NA,9078
"397",1997-09-23,0.008,9092
"398",1997-10-20,0.146,9119
"399",1997-11-17,0.237,9148
"400",1998-01-12,0.343,9204
"401",1998-02-10,0.435,9233
"402",1998-03-16,0.121,9267
"403",1998-03-31,0.25,9282
"404",1998-04-14,0.231,9295
"405",1998-04-28,0.289,9309
"406",1998-05-11,0.293,9322
"407",1998-05-27,0.321,9338
"408",1998-06-09,0.276,9351
"409",1998-06-23,0.276,9365
"410",1998-07-07,0.116,9379
"411",1998-07-21,0.233,9393
"412",1998-08-03,0.199,9406
"413",1998-08-18,0.108,9421
"414",1998-09-01,0.011,9435
"415",1998-09-15,0.004,9449
"416",1998-09-29,0.071,9463
"417",1998-10-27,0.153,9492
"418",1998-11-24,0.113,9520
"419",1998-12-21,0.085,9547
"420",1999-01-20,0.049,9577
"421",1999-02-17,0.225,9605
"422",1999-04-13,0.063,9659
"423",1999-04-27,0.062,9673
"424",1999-05-25,NA,9701
"425",1999-06-15,0.006,9722
"426",1999-06-22,0.055,9729
"427",1999-07-06,NA,9743
"428",1999-07-19,0.004,9756
"429",1999-08-03,NA,9771
"430",1999-08-16,0.19,9784
"431",1999-08-31,0.007,9799
"432",1999-09-28,0.231,9827
"433",1999-10-11,0.1,9840
"434",1999-12-06,0.555,9897
"435",2000-01-12,0.616,9934
"436",2000-02-14,0.689,9967
"437",2000-03-13,0.6,9995
"438",2000-04-10,0.585,10022
"439",2000-05-08,0.222,10050
"440",2000-05-23,0.323,10065
"441",2000-06-06,0.333,10079
"442",2000-06-20,0.255,10093
"443",2000-07-05,0.267,10108
"444",2000-08-15,0.122,10149
"445",2000-09-12,NA,10177
"446",2000-09-26,0.005,10191
"447",2000-10-12,0.144,10207
"448",2000-11-07,0.234,10234
"449",2000-12-05,0.335,10262
"450",2001-01-02,0.331,10290
"451",2001-01-29,0.308,10317
"452",2001-02-28,0.198,10347
"453",2001-04-04,0.184,10381
"454",2001-05-30,NA,10437
"455",2001-06-14,NA,10452
"456",2001-06-25,0.016,10463
"457",2001-08-09,NA,10508
"458",2001-08-20,0.019,10519
"459",2001-09-04,NA,10534
"460",2001-10-15,0.241,10575
"461",2001-11-27,0.335,10619
"462",2001-12-10,0.339,10632
"463",2002-01-14,0.2035,10667
"464",2002-02-11,0.116,10695
"465",2002-03-12,0.294,10724
"466",2002-04-10,0.159,10752
"467",2002-04-22,0.006,10764
"468",2002-05-06,0.048,10778
"469",2002-05-20,0.103,10792
"470",2002-06-04,0.044,10807
"471",2002-06-17,0.054,10820
"472",2002-07-15,NA,10848
"473",2002-07-29,NA,10862
"474",2002-08-12,0.019,10876
"475",2002-08-26,0.004,10890
"476",2002-09-09,0.037,10904
"477",2002-09-25,0.078,10920
"478",2002-10-21,0.027,10946
"479",2002-11-19,0.22,10976
"480",2002-12-16,0.288,11003
"481",2003-01-21,0.289,11039
"482",2003-02-18,0.356,11067
"483",2003-03-11,0.418,11088
"484",2003-04-02,0.392,11110
"485",2003-04-14,0.337,11121
"486",2003-05-05,0.248,11142
"487",2003-06-09,0.225,11177
"488",2003-07-14,0.047,11212
"489",2003-08-27,0.004,11256
"490",2003-09-09,0.05,11269
"491",2003-10-14,0.044,11304
"492",2003-11-13,0.105,11335
"493",2003-12-09,0.217,11361
"494",2004-01-06,0.206,11389
"495",2004-02-04,0.301,11418
"496",2004-03-17,0.193,11460
"497",2004-04-20,0.258,11493
"498",2004-05-18,0.342,11521
"499",2004-08-10,NA,11605
"500",2004-10-11,0.87,11667
"501",2004-11-18,0.4125,11706
"502",2004-12-29,0.821,11747
"503",2005-01-10,0.726,11759
"504",2005-02-07,0.78,11787
"505",2005-03-07,0.77,11815
"506",2005-04-11,0.699,11849
"507",2005-05-09,0.685,11877
"508",2005-06-21,0.325,11920
"509",2005-07-20,0.486,11949
"510",2005-08-16,0.042,11976
"511",2005-09-13,0.227,12004
"512",2005-10-10,0.215,12031
"513",2005-11-01,0.612,12054
"514",2005-11-29,0.376,12082
"515",2005-12-19,0.583,12102
"516",2006-01-19,0.555,12133
"517",2006-02-14,0.667,12159
"518",2006-03-14,0.56,12187
"519",2006-04-24,0.508,12227
"520",2006-05-17,0.548,12250
"521",2006-06-14,0.504,12278
"522",2006-07-10,0.5,12304
"523",2006-08-14,0.088,12339
"524",2006-09-27,0.041,12383
"525",2006-10-16,0.119,12402
"526",2006-11-06,0.127,12424
"527",2006-12-12,0.168,12460
"528",2007-01-16,0.176,12495
"529",2007-02-13,0.208,12523
"530",2007-03-19,0.191,12556
"531",2007-04-18,0.126,12586
"532",2007-08-13,NA,12703
"533",2007-09-26,0.081,12747
"534",2007-10-15,0.198,12766
"535",2007-11-06,0.302,12789
"536",2007-12-10,0.258,12823
"537",2008-01-14,0.149,12858
"538",2008-02-14,0.257,12889
"539",2008-03-11,0.248,12914
"540",2008-04-14,0.0805,12948
"541",2008-05-21,0.113,12985
"542",2008-06-09,0.0435,13004
"543",2008-07-21,0.012,13046
"544",2008-08-11,0.02,13067
"545",2008-09-23,0.352,13110
"546",2008-10-20,0.396,13137
"547",2008-11-18,0.396,13167
"548",2008-12-16,0.436,13195
"549",2009-01-13,0.39,13223
"550",2009-02-12,0.461,13253
"551",2009-03-10,0.394,13278
"552",2009-04-28,0.386,13327
"553",2009-05-12,0.256,13341
"554",2009-06-10,0.126,13370
"555",2009-07-07,0.08,13397
"556",2009-08-18,0.041,13439
"557",2009-09-15,0.134,13467
"558",2009-10-13,0.021,13495
"559",2009-11-17,0.276,13531
"560",2009-12-15,0.329,13559
"561",2010-01-14,0.442,13589
"562",2010-03-10,0.456,13644
"563",2010-04-20,0.468,13684
"564",2010-05-19,0.312,13713
"565",2010-06-15,0.132,13740
"566",2010-07-13,NA,13768
"567",2010-08-25,0.099,13811
"568",2010-09-20,0.008,13837
"569",2010-10-20,0.254,13867
"570",2010-11-01,0.03,13879
"571",2010-12-15,0.247,13924
"572",2011-01-04,0.317,13944
"573",2011-02-14,0.28,13985
"574",2011-03-08,0.278,14007
"575",2011-04-18,0.083,14047
"576",2011-05-23,0.014,14082
"577",2011-06-07,NA,14097
"578",2011-07-12,NA,14132
"579",2011-08-02,NA,14153
"580",2011-09-19,0.012,14201
"581",2011-10-10,0.154,14222
"582",2011-11-14,0.227,14258
"583",2011-12-06,0.317,14280
"584",2012-01-24,0.338,14329
"585",2012-02-06,0.35,14342
"586",2012-03-20,0.29,14384
"587",2012-04-03,0.27,14398
"588",2012-05-21,0.055,14446
"589",2012-06-11,0.063,14467
"590",2012-07-17,0.093,14503
"591",2012-08-14,0.008,14531
"592",2012-09-19,0.174,14567
"593",2012-10-09,0.243,14587
"594",2012-11-27,0.317,14637
"595",2012-12-11,0.351,14651
"596",2013-01-08,0.42,14679
"597",2013-02-11,0.356,14713
"598",2013-03-27,0.279,14756
"599",2013-04-08,0.261,14768
"600",2013-05-14,0.204,14804
"601",2013-06-03,0.289,14824
"602",2013-07-17,0.051,14868
"603",2013-08-06,0.076,14888
"604",2013-09-17,0.106,14930
"605",2013-10-01,0.162,14944
"606",2013-11-12,0.197,14987
"607",2013-12-04,0.263,15009
"608",2014-01-14,0.358,15050
"609",2014-02-05,0.298,15072
"610",2014-03-11,0.287,15105
"611",2014-04-15,0.204,15140
"612",2014-05-14,0.104,15169
"613",2014-06-04,0.051,15190
"614",2014-07-15,0.021,15231
"615",2014-08-05,0.038,15252
"616",2014-09-02,0.046,15280
"617",2014-10-07,0.134,15315
"618",2014-11-04,0.141,15344
"619",2014-12-02,0.281,15372
"620",2015-01-06,0.286,15407
"621",2015-02-03,0.34,15435
"622",2015-03-03,0.281,15463
"623",2015-04-07,0.258,15497
"624",2015-05-12,0.201,15532
"625",2015-06-03,0.062,15554
"626",2015-07-08,0.044,15589
"627",2015-08-04,0.175,15616
"628",2015-09-01,0.064,15644
"629",2015-10-06,0.13,15679
"630",2015-11-04,0.105,15709
"631",2015-12-01,0.311,15736
"632",2016-01-11,0.367,15777
"633",2016-02-02,0.329,15799
"634",2016-03-01,0.389,15827
"635",2016-04-05,0.339,15861
"636",2016-05-03,0.285,15889
"637",2016-06-14,0.179,15931
"638",2016-07-11,0.03,15958
"639",2016-08-02,0.032,15980
"640",2016-09-06,0.214,16015
"641",2016-10-18,0.342,16057
"642",2016-11-01,0.314,16071
"643",2016-12-07,0.345,16108
"644",2017-01-09,0.35,16141
"645",2017-02-07,0.28,16170
"646",2017-03-22,0.396,16212
"647",2017-04-17,0.398,16238
"648",2017-05-23,0.38,16274
"649",2017-06-20,0.311,16302
"650",2017-07-10,0.216,16322
"651",2017-08-14,0.042,16357
"652",2017-09-18,0.448,16392
"653",2017-10-10,0.41,16414
"654",2017-11-07,0.51,16443
"655",2017-12-05,0.525,16471
"656",2018-01-17,0.575,16514
"657",2018-02-06,0.559,16534
"658",2018-03-06,0.538,16562
"659",2018-04-03,0.426,16589
"660",2018-05-01,0.529,16617
"661",2018-06-05,0.37,16652
"662",2018-07-17,0.009,16694
"663",2018-08-14,0.019,16722
"664",2018-09-04,0.08,16743
"665",2018-10-16,NA,16785
"666",2018-11-06,0.104,16807
"667",2018-12-04,0.175,16835
"668",2019-01-08,0.348,16870
"669",2019-02-12,0.314,16905
"670",2019-03-12,0.323,16932
"671",2019-04-02,0.312,16953
"672",2019-05-08,0.264,16989
"673",2019-06-05,0.205,17017
"674",2019-07-09,0.08,17051
"675",2019-08-06,0.059,17079
"676",2019-09-09,0.17,17113
"677",2019-10-01,0.402,17135
"678",2019-11-05,0.341,17171
"679",2019-12-03,0.326,17199
"680",2020-01-14,0.392,17241
"681",2020-02-12,0.406,17270
"682",2020-03-10,0.37,17296
"683",2020-04-07,0.275,17324
"684",2020-05-05,0.212,17352
"685",2020-05-20,0.406,17367
"686",2020-06-02,0.196,17380
"687",2020-06-23,0.019,17401
"688",2020-07-07,0.035,17415
"689",2020-07-21,0.193,17429
"690",2020-08-04,0.042,17443
"691",2020-08-25,0.076,17464
"692",2020-09-08,0.045,17478
"693",2020-09-23,0.066,17493
"694",2020-10-06,0.206,17506
"695",2020-10-21,0.21,17521
"696",2020-11-17,0.267,17549
"697",2020-12-15,0.342,17577
"698",2021-01-05,0.385,17598
"699",2021-02-09,0.349,17633
"700",2021-03-10,0.353,17662
"701",2021-04-06,0.326,17688
"702",2021-05-04,0.239,17716
"703",2021-05-18,0.227,17730
"704",2021-06-08,0.244,17751
"705",2021-06-22,0.063,17765
"706",2021-07-08,0.078,17781
"707",2021-07-20,NA,17793
"708",2021-08-03,0.055,17807
"709",2021-08-24,0.08,17828
"710",2021-09-08,0.008,17843
"711",2021-09-21,0.058,17856
"712",2021-10-05,NA,17870
"713",2021-10-19,0.026,17884
"714",2021-11-02,0.073,17898
"715",2021-12-07,0.165,17934
"716",2022-01-04,0.214,17962
"717",2022-02-08,0.239,17997
"718",2022-03-08,0.273,18025
"719",2022-04-05,0.342,18052
"720",2022-05-03,0.37,18080
"721",2022-05-18,0.171,18095
"722",2022-06-07,0.277,18115
"723",2022-06-21,0.196,18129
"724",2022-07-06,0.106,18144
"725",2022-07-19,0.181,18157
"726",2022-08-02,NA,18171
"727",2022-08-16,NA,18185
"728",2022-09-06,NA,18206
"729",2022-09-20,NA,18220
"730",2022-10-04,0.181,18234
"731",2022-10-18,0.283,18248
"732",2022-11-15,0.387,18277
"733",2022-12-06,0.439,18298
"734",2023-01-10,0.447,18333
"735",2023-02-07,0.497,18361
"736",2023-03-07,0.455,18389
"737",2023-04-04,0.413,18416
"738",2023-05-02,0.383,18444
