"","date","S77_CHLOROPHYLL-A(LC)_ug/L","days"
"1",2010-10-13,31.1,13
"2",2010-11-03,12.4,34
"3",2010-11-17,11.3,48
"4",2010-12-01,12.3,62
"5",2010-12-13,10.3,74
"6",2011-01-05,14.7,97
"7",2011-01-20,31.6,112
"8",2011-02-03,18.3,126
"9",2011-03-02,6.9,153
"10",2011-03-16,19.1,167
"11",2011-04-06,14.1,188
"12",2011-04-20,10.9,202
"13",2011-05-04,13.8,216
"14",2011-05-18,16.8,230
"15",2011-06-08,15.3,251
"16",2011-06-22,23.3,265
"17",2011-07-06,11,279
"18",2011-07-20,7.23,293
"19",2011-08-10,12.2,314
"20",2011-08-24,7.72,328
"21",2011-09-07,12.2,342
"22",2011-09-21,6.49,356
"23",2011-10-05,5.24,370
"24",2011-10-19,9.21,384
"25",2011-11-02,5.2,398
"26",2011-11-16,23,412
"27",2011-12-07,8.78,433
"28",2011-12-21,1.65,447
"29",2012-01-04,15.2,461
"30",2012-01-18,14.9,475
"31",2012-02-08,20.2,496
"32",2012-02-22,25.8,510
"33",2012-03-07,40.5,524
"34",2012-03-21,12.4,538
"35",2012-04-04,12.1,552
"36",2012-04-18,10.6,566
"37",2012-05-02,30.1,580
"38",2012-05-16,15.7,594
"39",2012-06-06,15.2,615
"40",2012-06-20,17.6,629
"41",2012-07-11,35.1,650
"42",2012-07-25,45.4,664
"43",2012-08-08,16.7,678
"44",2012-08-22,6.84,692
"45",2012-09-05,24.3,706
"46",2012-09-19,8.24,720
"47",2012-10-03,28.1,734
"48",2012-10-17,25.6,748
"49",2012-11-01,4.18,763
"50",2012-11-14,5.86,776
"51",2012-11-28,8.6,790
"52",2012-12-12,2.89,804
"53",2012-12-27,3.5,819
"54",2013-01-09,10.9,832
"55",2013-01-23,6.09,846
"56",2013-01-30,14.4,853
"57",2013-02-06,10.3,860
"58",2013-02-21,10.6,875
"59",2013-03-06,7.7,888
"60",2013-03-13,8.87,895
"61",2013-03-20,8.78,902
"62",2013-04-03,13.7,916
"63",2013-04-17,12.8,930
"64",2013-05-01,14.1,944
"65",2013-05-15,21,958
"66",2013-05-29,22,972
"67",2013-06-12,38.1,986
"68",2013-06-26,13,1000
"69",2013-07-10,11.8,1014
"70",2013-07-24,10.1,1028
"71",2013-08-07,15.8,1042
"72",2013-08-21,9.95,1056
"73",2013-09-04,8.97,1070
"74",2013-09-18,6.11,1084
"75",2013-10-02,26.2,1098
"76",2013-10-16,14.6,1112
"77",2013-10-30,15.9,1126
"78",2013-11-14,18.5,1141
"79",2013-11-26,15.3,1153
"80",2013-12-11,13.4,1168
"81",2013-12-23,9.93,1180
"82",2014-01-08,29.3,1196
"83",2014-01-22,14.7,1210
"84",2014-02-05,23.6,1224
"85",2014-02-19,15.5,1238
"86",2014-03-05,14.5,1252
"87",2014-03-19,15.4,1266
"88",2014-04-02,33,1280
"89",2014-04-16,41.7,1294
"90",2014-04-30,9.16,1308
"91",2014-05-14,12.7,1322
"92",2014-05-28,13.6,1336
"93",2014-06-11,12,1350
"94",2014-06-25,20.8,1364
"95",2014-07-09,24.5,1378
"96",2014-07-23,27.2,1392
"97",2014-08-06,5.15,1406
"98",2014-08-20,23.3,1420
"99",2014-09-03,10.2,1434
"100",2014-09-17,1.35,1448
"101",2014-10-01,5.18,1462
"102",2014-10-15,1.22,1476
"103",2014-10-29,7.54,1490
"104",2014-11-12,7.94,1504
"105",2014-11-26,3.41,1518
"106",2014-12-10,6.96,1532
"107",2014-12-23,5.55,1545
"108",2015-01-07,5.35,1560
"109",2015-01-21,4.87,1574
"110",2015-02-04,12.6,1588
"111",2015-02-18,14.1,1602
"112",2015-03-04,12.2,1616
"113",2015-03-18,6.82,1630
"114",2015-04-01,6.39,1644
"115",2015-04-15,8.7,1658
"116",2015-04-29,10.9,1672
"117",2015-05-13,58.1,1686
"118",2015-05-27,7.54,1700
"119",2015-05-28,12.74,1701
"120",2015-06-10,10.1,1714
"121",2015-06-24,21.7,1728
"122",2015-07-08,5.89,1742
"123",2015-08-05,14.6,1770
"124",2015-08-19,2.87,1784
"125",2015-09-02,13.2,1798
"126",2015-09-16,3.1,1812
"127",2015-09-30,2.57,1826
"128",2015-10-14,1.81,1840
"129",2015-10-28,1.88,1854
"130",2015-11-10,4.46,1867
"131",2015-11-24,7.22,1881
"132",2015-12-09,7.78,1896
"133",2015-12-21,19.4,1908
"134",2016-01-04,8.8,1922
"135",2016-01-19,6.73,1937
"136",2016-02-01,7.47,1950
"137",2016-02-15,12.7,1964
"138",2016-02-29,10.9,1978
"139",2016-03-14,7.35,1992
"140",2016-03-28,6.02,2006
"141",2016-04-11,12.3,2020
"142",2016-04-25,6.85,2034
"143",2016-05-09,16,2048
"144",2016-05-23,7.32,2062
"145",2016-06-07,5.88,2077
"146",2016-06-20,13.4,2090
"147",2016-07-05,29.7,2105
"148",2016-07-18,12.9,2118
"149",2016-08-01,2.94,2132
"150",2016-08-15,2.8,2146
"151",2016-08-29,1.18,2160
"152",2016-09-12,3.53,2174
"153",2016-09-26,9.38,2188
"154",2016-10-10,23.9,2202
"155",2016-10-24,11.4,2216
"156",2016-11-07,6.48,2230
"157",2016-11-21,7.27,2244
"158",2016-12-07,4.63,2260
"159",2017-01-05,5.64,2289
"160",2017-01-11,4.8,2295
"161",2017-01-25,7.96,2309
"162",2017-02-08,8.13333333333333,2323
"163",2017-02-22,3.08,2337
"164",2017-03-22,9.97,2365
"165",2017-04-12,9.45,2386
"166",2017-04-26,8.84,2400
"167",2017-05-10,25.1666666666667,2414
"168",2017-05-24,32.9,2428
"169",2017-05-31,10.6,2435
"170",2017-06-07,15.4333333333333,2442
"171",2017-06-21,13.5,2456
"172",2017-06-28,9.77,2463
"173",2017-07-19,4.58,2484
"174",2017-07-26,1.3,2491
"175",2017-08-02,0.905,2498
"176",2017-08-14,1.98,2510
"177",2017-08-28,1.24,2524
"178",2017-09-05,4.94,2532
"179",2017-09-13,8.36,2540
"180",2017-09-25,11.8,2552
"181",2017-10-02,7.86,2559
"182",2017-10-16,3.41,2573
"183",2017-11-06,4.40666666666667,2594
"184",2017-11-20,3.37,2608
"185",2017-11-27,3.29,2615
"186",2017-12-04,2.66,2622
"187",2017-12-18,1.79,2636
"188",2017-12-27,3.75,2645
"189",2018-01-03,2.89,2652
"190",2018-01-18,2.61,2667
"191",2018-02-12,10.1,2692
"192",2018-02-26,12.3,2706
"193",2018-03-12,5.49,2720
"194",2018-03-26,23.5666666666667,2734
"195",2018-04-09,11.4,2748
"196",2018-04-23,7.86,2762
"197",2018-05-14,17.7,2783
"198",2018-05-30,26.4,2799
"199",2018-06-11,7.71,2811
"200",2018-06-25,8.47,2825
"201",2018-07-16,22.8,2846
"202",2018-07-23,13.1,2853
"203",2018-08-06,1.77,2867
"204",2018-08-20,5.95,2881
"205",2018-09-06,6.74,2898
"206",2018-09-17,14.3,2909
"207",2018-10-01,6.94,2923
"208",2018-10-15,5.61,2937
"209",2018-10-29,102,2951
"210",2018-11-14,19.0333333333333,2967
"211",2018-11-26,27.1,2979
"212",2018-12-10,26,2993
"213",2018-12-26,30,3009
"214",2019-01-07,27.9,3021
"215",2019-01-23,32.8,3037
"216",2019-02-04,46.6,3049
"217",2019-02-18,30.9,3063
"218",2019-03-04,12,3077
"219",2019-03-18,14.6,3091
"220",2019-04-01,17.5,3105
"221",2019-04-08,20.8,3112
"222",2019-04-22,18.6,3126
"223",2019-05-06,47.3,3140
"224",2019-05-20,54.6,3154
"225",2019-06-03,8.3,3168
"226",2019-06-17,22.6,3182
"227",2019-07-01,27,3196
"228",2019-07-15,32.6,3210
"229",2019-07-29,10.9,3224
"230",2019-08-12,6.93,3238
"231",2019-08-26,5.56,3252
"232",2019-09-09,22,3266
"233",2019-09-23,1.95,3280
"234",2019-10-07,8.5,3294
"235",2019-10-21,3.33666666666667,3308
"236",2019-11-04,6.7,3322
"237",2019-11-18,7.25,3336
"238",2019-12-02,11.6,3350
"239",2019-12-16,44.2,3364
"240",2019-12-30,10.1,3378
"241",2020-01-13,15.7666666666667,3392
"242",2020-01-27,13.3,3406
"243",2020-02-10,14.6,3420
"244",2020-02-24,13.4,3434
"245",2020-03-09,19.9,3448
"246",2020-03-23,12.4,3462
"247",2020-04-06,6.94,3476
"248",2020-04-20,58,3490
"249",2020-05-04,15.4,3504
"250",2020-05-18,12.7,3518
"251",2020-06-01,54.4,3532
"252",2020-06-15,35,3546
"253",2020-06-29,13,3560
"254",2020-07-13,3.57333333333333,3574
"255",2020-07-27,6.28,3588
"256",2020-08-10,3.92,3602
"257",2020-08-24,7.74,3616
"258",2020-09-08,6.58,3631
"259",2020-09-21,14,3644
"260",2020-10-05,9.44,3658
"261",2020-10-19,7.91,3672
"262",2020-11-02,3.83,3686
"263",2020-11-16,3.9,3700
"264",2020-11-30,3.54,3714
"265",2020-12-14,4.44,3728
"266",2020-12-28,5.08,3742
"267",2021-01-11,4.56333333333333,3756
"268",2021-01-25,13.5,3770
"269",2021-02-08,6.46,3784
"270",2021-02-22,21,3798
"271",2021-03-08,12,3812
"272",2021-03-22,5.75,3826
"273",2021-04-05,7.05666666666667,3840
"274",2021-04-19,21.1,3854
"275",2021-05-03,9.81,3868
"276",2021-05-17,17.3,3882
"277",2021-06-01,23.6,3897
"278",2021-06-14,7.76,3910
"279",2021-06-28,93.2,3924
"280",2021-07-12,49.5,3938
"281",2021-07-26,10.4,3952
"282",2021-08-09,27,3966
"283",2021-08-23,5.54,3980
"284",2021-09-07,2.55,3995
"285",2021-09-20,0.701,4008
"286",2021-10-04,9.99333333333333,4022
"287",2021-10-18,7.78,4036
"288",2021-11-01,4,4050
"289",2021-11-15,11.8,4064
"290",2021-11-29,14.8,4078
"291",2021-12-13,7.47,4092
"292",2021-12-27,9.61,4106
"293",2022-01-10,13.9,4120
"294",2022-01-24,10.5,4134
"295",2022-02-07,19.2,4148
"296",2022-02-14,14.6,4155
"297",2022-02-28,21.2,4169
"298",2022-03-14,20.9,4183
"299",2022-03-28,21.4,4197
"300",2022-04-04,23.3,4204
"301",2022-04-18,56.5,4218
"302",2022-05-02,13.8,4232
"303",2022-05-16,18.8,4246
"304",2022-06-01,120,4262
"305",2022-06-13,12.8,4274
"306",2022-06-27,79.6,4288
"307",2022-07-11,29,4302
"308",2022-07-25,47.8,4316
"309",2022-08-08,39.4,4330
"310",2022-08-22,36.6,4344
"311",2022-09-07,34.8,4360
"312",2022-09-19,20.6,4372
"313",2022-10-03,8.33,4386
"314",2022-10-17,4.6,4400
"315",2022-10-31,5.58,4414
"316",2022-11-14,3.47,4428
"317",2022-11-28,18.5,4442
"318",2022-12-12,6.2,4456
"319",2022-12-27,6.9,4471
"320",2023-01-09,4.14666666666667,4484
"321",2023-01-23,22.9,4498
"322",2023-02-06,4.39,4512
"323",2023-02-13,3.16,4519
"324",2023-02-27,0.348,4533
"325",2023-03-13,4,4547
"326",2023-03-27,12,4561
"327",2023-04-10,11,4575
"328",2023-04-24,22.2,4589
"329",2023-05-01,8.67,4596
"330",2023-05-15,16.1,4610
